datetime,open,high,low,close,volume
2026-02-20 04:00:00,1.4124,1.42335,1.40017,1.41895,1010703.41066211
2026-02-20 08:00:00,1.41891,1.42789,1.40301,1.40483,1319689.28046071
2026-02-20 12:00:00,1.4052,1.42973,1.378,1.429,6398478.04696864
2026-02-20 16:00:00,1.42881,1.43879,1.40776,1.42293,3692694.21036476
2026-02-20 20:00:00,1.42288,1.43086,1.41441,1.4287,1326720.38272696
2026-02-21 00:00:00,1.42843,1.43306,1.41931,1.42514,887738.34528428
2026-02-21 04:00:00,1.42544,1.43451,1.42435,1.43092,610077.1887132
2026-02-21 08:00:00,1.43075,1.44589,1.42726,1.44359,1135393.44576988
2026-02-21 12:00:00,1.44359,1.46413,1.436,1.45023,3031056.59055269
2026-02-21 16:00:00,1.45057,1.45111,1.43625,1.44316,1267820.84359274
2026-02-21 20:00:00,1.44307,1.44307,1.43,1.43017,1542830.26348287
2026-02-22 00:00:00,1.43001,1.43323,1.41798,1.42316,1288293.07565155
2026-02-22 04:00:00,1.42328,1.42547,1.41698,1.42087,1231276.94316049
2026-02-22 08:00:00,1.42081,1.42508,1.41681,1.42302,330097.24577947
2026-02-22 12:00:00,1.42304,1.4233,1.38598,1.39305,2874824.6354849
2026-02-22 16:00:00,1.39298,1.39435,1.383,1.38629,921110.16468036
2026-02-22 20:00:00,1.38634,1.40136,1.38,1.39246,1507340.24484286
2026-02-23 00:00:00,1.39303,1.39432,1.33,1.34095,8144836.84420431
2026-02-23 04:00:00,1.34104,1.37779,1.33563,1.3712,2811884.47307655
2026-02-23 08:00:00,1.37115,1.40588,1.36207,1.39661,1629913.61883233
2026-02-23 12:00:00,1.39646,1.42443,1.3674,1.37099,4306661.49948019
2026-02-23 16:00:00,1.37032,1.37824,1.3488,1.35707,4697549.92998706
2026-02-23 20:00:00,1.3569,1.36667,1.35008,1.35145,2725791.36758026
2026-02-24 00:00:00,1.35144,1.36137,1.32751,1.33103,3499886.52153481
2026-02-24 04:00:00,1.33214,1.3421,1.32186,1.32598,1877417.29215185
2026-02-24 08:00:00,1.32592,1.33524,1.32141,1.33324,1122046.86687194
2026-02-24 12:00:00,1.33318,1.3525,1.3125,1.35152,4024890.89562327
2026-02-24 16:00:00,1.35153,1.36675,1.34514,1.35581,5712570.2748048
2026-02-24 20:00:00,1.35582,1.36358,1.34191,1.34837,2677704.27436989
2026-02-25 00:00:00,1.34824,1.39932,1.34081,1.36954,8889545.70875089
2026-02-25 04:00:00,1.37002,1.37484,1.3533,1.36569,1143771.16153826
2026-02-25 08:00:00,1.3657,1.38455,1.36333,1.38381,1406844.83919038
2026-02-25 12:00:00,1.38376,1.44617,1.38109,1.44166,8912643.85681368
2026-02-25 16:00:00,1.44172,1.47687,1.438,1.46664,9233688.80377072
2026-02-25 20:00:00,1.46734,1.49365,1.41911,1.43371,10349803.63935521
2026-02-26 00:00:00,1.43382,1.4483,1.4191,1.44215,5741887.27688086
2026-02-26 04:00:00,1.44211,1.46947,1.43047,1.43405,6337843.42184402
2026-02-26 08:00:00,1.43405,1.45635,1.43405,1.4369,1334354.22066573
2026-02-26 12:00:00,1.43729,1.44571,1.40783,1.42136,6055252.89019924
2026-02-26 16:00:00,1.42134,1.42355,1.38279,1.40745,6678759.26858719
2026-02-26 20:00:00,1.40758,1.41303,1.38832,1.40265,2033005.09723536
2026-02-27 00:00:00,1.40265,1.41329,1.39374,1.40794,1296126.08091824
2026-02-27 04:00:00,1.40801,1.42143,1.40426,1.41688,1268666.47058482
2026-02-27 08:00:00,1.41692,1.42602,1.381,1.3836,3004336.09942325
2026-02-27 12:00:00,1.3827,1.38539,1.35314,1.35779,8816996.82210854
2026-02-27 16:00:00,1.35779,1.36526,1.33864,1.35079,7923119.30478494
2026-02-27 20:00:00,1.35106,1.35717,1.3392,1.35625,1634709.03776749
2026-02-28 00:00:00,1.35627,1.365,1.35328,1.35514,1781973.34305682
2026-02-28 04:00:00,1.35514,1.358,1.29064,1.30321,5668389.94015412
2026-02-28 08:00:00,1.30269,1.30676,1.27024,1.29314,5955231.78353964
2026-02-28 12:00:00,1.29343,1.35084,1.29229,1.32386,6394940.32841581
2026-02-28 16:00:00,1.32387,1.35887,1.31514,1.35497,5266226.47515829
2026-02-28 20:00:00,1.35462,1.39327,1.35144,1.3765,5873660.09472344
2026-03-01 00:00:00,1.37684,1.43299,1.36565,1.41881,5900948.78028873
2026-03-01 04:00:00,1.41928,1.42134,1.38865,1.39794,2031677.57535128
2026-03-01 08:00:00,1.39809,1.39948,1.36768,1.37616,1358313.49862624
2026-03-01 12:00:00,1.37582,1.40304,1.3618,1.37814,1845988.90224677
2026-03-01 16:00:00,1.37934,1.38613,1.35477,1.35647,1970184.42840689
2026-03-01 20:00:00,1.35602,1.37163,1.33718,1.35254,6238913.81289159
2026-03-02 00:00:00,1.35287,1.3806,1.3513,1.37362,2216500.18386837
2026-03-02 04:00:00,1.37362,1.37472,1.33801,1.34669,1614965.30384658
2026-03-02 08:00:00,1.34714,1.36258,1.33885,1.35089,3912803.75065574
2026-03-02 12:00:00,1.35122,1.41674,1.33369,1.40053,10122514.06596297
2026-03-02 16:00:00,1.4011,1.42259,1.3834,1.40097,10438356.05273316
2026-03-02 20:00:00,1.40092,1.40689,1.38618,1.38996,2895127.35365466
2026-03-03 00:00:00,1.39013,1.39494,1.36737,1.37317,3896472.98517021
2026-03-03 04:00:00,1.37307,1.3771,1.35805,1.36392,2216885.92642306
2026-03-03 08:00:00,1.36365,1.36874,1.342,1.35319,3980657.16147194
2026-03-03 12:00:00,1.35299,1.37088,1.33628,1.36449,6575606.51633642
2026-03-03 16:00:00,1.36462,1.38683,1.35384,1.36249,3776297.57379239
2026-03-03 20:00:00,1.3617,1.36911,1.34892,1.3609,1707880.37193116
2026-03-04 00:00:00,1.36073,1.36979,1.34558,1.3533,1441578.23845229
2026-03-04 04:00:00,1.353,1.37779,1.3455,1.37561,949922.73668478
2026-03-04 08:00:00,1.3751,1.42711,1.36974,1.39901,5495714.74285777
2026-03-04 12:00:00,1.39927,1.465,1.38274,1.46395,9734105.34853723
2026-03-04 16:00:00,1.46351,1.47391,1.43595,1.45778,8551995.28115194
2026-03-04 20:00:00,1.45766,1.4655,1.41664,1.43095,4658042.32571469
2026-03-05 00:00:00,1.4317,1.43658,1.41622,1.41976,1971407.94160599
2026-03-05 04:00:00,1.41977,1.43148,1.40836,1.41332,1788445.69498015
2026-03-05 08:00:00,1.41351,1.45231,1.40998,1.43654,1654217.71482989
2026-03-05 12:00:00,1.4367,1.44275,1.41011,1.41692,3173345.14681536
2026-03-05 16:00:00,1.416,1.42364,1.3959,1.41062,4368887.90619288
2026-03-05 20:00:00,1.41109,1.4203,1.4025,1.40423,2043798.67731602
2026-03-06 00:00:00,1.40384,1.41458,1.39818,1.40557,2268796.22797361
2026-03-06 04:00:00,1.40542,1.4085,1.3915,1.40767,1293493.57525674
2026-03-06 08:00:00,1.40793,1.40793,1.39274,1.39542,712123.15031809
2026-03-06 12:00:00,1.39512,1.39755,1.35129,1.35662,5946278.46714862
2026-03-06 16:00:00,1.35643,1.36665,1.34604,1.36385,3063534.83441756
2026-03-06 20:00:00,1.3637,1.37127,1.35394,1.3633,3790526.00486542
2026-03-07 00:00:00,1.3637,1.37499,1.36284,1.36594,717060.99138932
2026-03-07 04:00:00,1.36616,1.36864,1.36033,1.3671,1028001.56502827
2026-03-07 08:00:00,1.36705,1.37346,1.36302,1.37,401238.77697594
2026-03-07 12:00:00,1.37005,1.37005,1.35519,1.35751,843806.35086289
2026-03-07 16:00:00,1.3575,1.36481,1.348,1.3506,882458.74331274
2026-03-07 20:00:00,1.35059,1.359,1.35043,1.35666,868238.35344466
2026-03-08 00:00:00,1.35712,1.36016,1.34438,1.34863,1040025.66362623
2026-03-08 04:00:00,1.34867,1.3625,1.342,1.36022,574316.26192081
2026-03-08 08:00:00,1.36034,1.37155,1.3548,1.35783,879862.33044717
2026-03-08 12:00:00,1.35767,1.35899,1.342,1.34614,940713.74858376
2026-03-08 16:00:00,1.34528,1.35987,1.33831,1.35645,1103649.70281281
2026-03-08 20:00:00,1.35593,1.36193,1.32179,1.34033,3497696.52228824
2026-03-09 00:00:00,1.34036,1.3655,1.33801,1.35062,2288714.16478102
2026-03-09 04:00:00,1.35051,1.35796,1.33323,1.34048,987312.26027898
2026-03-09 08:00:00,1.34093,1.36286,1.34035,1.35003,762670.35426851
2026-03-09 12:00:00,1.34997,1.37259,1.34951,1.36033,3169322.98190805
2026-03-09 16:00:00,1.36066,1.38437,1.35628,1.37361,2252527.9950001
2026-03-09 20:00:00,1.37316,1.37935,1.36094,1.3632,2149579.81150897
2026-03-10 00:00:00,1.36306,1.39207,1.36095,1.37508,1842295.18176409
2026-03-10 04:00:00,1.37509,1.38986,1.37325,1.38716,872794.89525801
2026-03-10 08:00:00,1.38735,1.41949,1.38735,1.39081,4270619.3962994
2026-03-10 12:00:00,1.39144,1.44232,1.3818,1.4307,5551158.02652798
2026-03-10 16:00:00,1.43067,1.43674,1.38,1.38575,3996816.01070498
2026-03-10 20:00:00,1.3847,1.39528,1.37811,1.38665,1671253.43213683
2026-03-11 00:00:00,1.3867,1.39236,1.37837,1.37928,1711145.70668804
2026-03-11 04:00:00,1.37928,1.39125,1.37428,1.37867,664257.64746297
2026-03-11 08:00:00,1.37874,1.38093,1.37243,1.37382,496428.05954605
2026-03-11 12:00:00,1.3738,1.411,1.37049,1.38263,5584252.629646
2026-03-11 16:00:00,1.38264,1.40743,1.38101,1.39063,5058489.31884475
2026-03-11 20:00:00,1.39014,1.39718,1.3825,1.38454,1521399.51791692
2026-03-12 00:00:00,1.38454,1.38617,1.37,1.37417,1887086.48042394
2026-03-12 04:00:00,1.37393,1.37822,1.3668,1.37672,1078185.96714066
2026-03-12 08:00:00,1.37663,1.39312,1.37446,1.38801,2026130.7030944
2026-03-12 12:00:00,1.38807,1.39236,1.3659,1.37958,3857404.33433544
2026-03-12 16:00:00,1.37938,1.38579,1.36977,1.37894,2434233.31293462
2026-03-12 20:00:00,1.37903,1.38966,1.37157,1.3853,2538699.96828995
2026-03-13 00:00:00,1.38457,1.42387,1.38376,1.41228,7016802.32470964
2026-03-13 04:00:00,1.41229,1.428,1.4072,1.4153,4964885.39589871
2026-03-13 08:00:00,1.41556,1.43872,1.41403,1.42064,4705279.5974725
2026-03-13 12:00:00,1.42047,1.4529,1.40759,1.40926,9586533.25132743
2026-03-13 16:00:00,1.40925,1.41495,1.39028,1.4013,4878715.42777861
2026-03-13 20:00:00,1.40155,1.40583,1.39034,1.39936,1830841.02734243
2026-03-14 00:00:00,1.39907,1.40385,1.39262,1.40118,933405.89806986
2026-03-14 04:00:00,1.40122,1.40451,1.38551,1.39473,832545.88819245
2026-03-14 08:00:00,1.39446,1.39713,1.3883,1.39246,418078.18591004
2026-03-14 12:00:00,1.3925,1.39479,1.38823,1.39059,593403.22301333
2026-03-14 16:00:00,1.39057,1.39397,1.38744,1.39067,872155.23931622
2026-03-14 20:00:00,1.39065,1.40852,1.3893,1.4067,1358209.12367842
2026-03-15 00:00:00,1.40681,1.42,1.40265,1.41232,2349477.57038675
2026-03-15 04:00:00,1.41279,1.42108,1.40584,1.40799,3258688.00124516
2026-03-15 08:00:00,1.40799,1.42056,1.40799,1.41966,407201.45006408
2026-03-15 12:00:00,1.41998,1.42973,1.4133,1.41579,2274886.76328169
2026-03-15 16:00:00,1.41594,1.42381,1.40913,1.41323,1156298.68488192
2026-03-15 20:00:00,1.41303,1.46472,1.41071,1.44939,5310540.81989675
2026-03-16 00:00:00,1.44894,1.47987,1.43615,1.46758,3007191.90453343
2026-03-16 04:00:00,1.468,1.48779,1.46776,1.4829,4582988.32132931
2026-03-16 08:00:00,1.48291,1.48891,1.4648,1.47012,1959029.71203252
2026-03-16 12:00:00,1.46994,1.51664,1.46994,1.49332,8905470.92325755
2026-03-16 16:00:00,1.49333,1.54389,1.4925,1.52909,9387675.52925575
2026-03-16 20:00:00,1.53064,1.55311,1.52382,1.54327,4805505.60192147
2026-03-17 00:00:00,1.54317,1.60681,1.53446,1.54423,16579774.8863829
2026-03-17 04:00:00,1.545,1.55304,1.50525,1.53003,4428117.31444551
2026-03-17 08:00:00,1.53,1.53286,1.50291,1.51008,2589317.34255225
2026-03-17 12:00:00,1.51002,1.52273,1.49516,1.51431,5220948.07634966
2026-03-17 16:00:00,1.5141,1.54121,1.50305,1.53279,6403418.79166209
2026-03-17 20:00:00,1.5341,1.53687,1.51795,1.51856,1704657.36929905
2026-03-18 00:00:00,1.51847,1.54,1.51,1.53919,4461821.11956777
