entry_time,exit_time,direction,setup,choch_type,entry_price,sl_price,tp1_price,tp2_price,tp1_source,tp2_source,exit_price,exit_reason,tp1_hit,pnl_r,pnl_pct,session,liquidity_sweep
2023-10-15 15:20:00+00:00,2023-10-21 23:20:00+00:00,bullish,continuation,CHoCH_internal_bull,209.3,206.47907,276.6,285.8,EQH,EQH,214.3,MAX_HOLD,False,1.772,1.772,ny,False
2023-10-15 16:05:00+00:00,2023-10-22 00:05:00+00:00,bullish,continuation,CHoCH_internal_bull,209.5,206.47905,276.6,285.8,EQH,EQH,214.2,MAX_HOLD,False,1.556,1.556,other,False
2023-10-15 18:45:00+00:00,2023-10-22 02:45:00+00:00,bullish,continuation,CHoCH_internal_bull,210.1,206.47899,276.6,285.8,EQH,EQH,214.0,MAX_HOLD,False,1.077,1.077,other,False
2023-10-15 20:45:00+00:00,2023-10-22 04:45:00+00:00,bullish,continuation,CHoCH_internal_bull,210.2,206.47899,276.6,285.8,EQH,EQH,215.2,MAX_HOLD,False,1.344,1.344,other,False
2023-10-15 22:10:00+00:00,2023-10-22 06:10:00+00:00,bullish,continuation,CHoCH_internal_bull,210.2,206.47898,276.6,285.8,EQH,EQH,216.5,MAX_HOLD,False,1.693,1.693,other,False
2023-10-15 23:50:00+00:00,2023-10-22 07:50:00+00:00,bullish,continuation,CHoCH_internal_bull,209.6,206.47904,276.6,285.8,EQH,EQH,214.4,MAX_HOLD,False,1.538,1.538,other,False
2023-10-16 04:55:00+00:00,2023-10-22 12:55:00+00:00,bullish,continuation,CHoCH_internal_bull,211.0,206.4789,276.6,285.8,EQH,EQH,214.4,MAX_HOLD,False,0.752,0.752,other,False
2023-10-16 07:25:00+00:00,2023-10-22 15:25:00+00:00,bullish,continuation,CHoCH_internal_bull,213.1,206.47869,276.6,285.8,EQH,EQH,214.0,MAX_HOLD,False,0.136,0.136,london,False
2023-10-22 00:20:00+00:00,2023-10-28 08:20:00+00:00,bullish,continuation,CHoCH_internal_bull,214.6,209.97854,276.6,285.8,EQH,EQH,226.9,MAX_HOLD,False,2.661,2.661,other,False
2023-10-22 00:55:00+00:00,2023-10-28 08:55:00+00:00,bullish,continuation,CHoCH_internal_bull,214.9,209.97851,276.6,285.8,EQH,EQH,226.7,MAX_HOLD,False,2.398,2.398,other,False
2023-10-22 03:45:00+00:00,2023-10-28 11:45:00+00:00,bullish,continuation,CHoCH_internal_bull,214.2,209.97859,276.6,285.8,EQH,EQH,226.6,MAX_HOLD,False,2.937,2.937,other,False
2023-10-22 09:10:00+00:00,2023-10-28 17:10:00+00:00,bullish,continuation,CHoCH_internal_bull,214.5,209.97855,276.6,285.8,EQH,EQH,226.1,MAX_HOLD,False,2.566,2.566,london,False
2023-10-22 10:40:00+00:00,2023-10-28 18:40:00+00:00,bullish,continuation,CHoCH_internal_bull,214.4,209.97855,276.6,285.8,EQH,EQH,225.6,MAX_HOLD,False,2.533,2.533,other,False
2023-10-22 12:10:00+00:00,2023-10-28 20:10:00+00:00,bullish,continuation,CHoCH_internal_bull,214.4,209.97856,276.6,285.8,EQH,EQH,225.6,MAX_HOLD,False,2.533,2.533,overlap,False
2023-10-22 16:15:00+00:00,2023-10-29 00:15:00+00:00,bullish,continuation,CHoCH_internal_bull,214.4,209.97857,276.6,285.8,EQH,EQH,225.4,MAX_HOLD,False,2.488,2.488,other,False
2023-10-23 02:20:00+00:00,2023-10-29 10:05:00+00:00,bullish,continuation,CHoCH_internal_bull,219.9,214.77802,276.6,285.8,EQH,EQH,225.6,MAX_HOLD,False,1.113,1.113,other,False
2023-10-29 00:40:00+00:00,2023-11-04 08:20:00+00:00,bullish,continuation,CHoCH_internal_bull,225.9,214.77741,276.6,285.8,EQH,EQH,233.4,MAX_HOLD,False,0.674,0.674,other,False
2023-12-21 06:10:00+00:00,2023-12-26 10:55:00+00:00,bullish,continuation,CHoCH_internal_bull,257.8,257.8,276.6,285.8,EQH,EQH,285.8,TP2,True,20.786,0.0,other,False
2024-02-07 14:25:00+00:00,2024-02-08 02:35:00+00:00,bullish,continuation,CHoCH_internal_bull,303.3,303.3,311.141667,311.945455,EQH,EQH,311.945455,TP2,True,8.861,0.0,ny,False
2024-02-07 16:45:00+00:00,2024-02-08 02:35:00+00:00,bullish,continuation,CHoCH_internal_bull,304.0,304.0,311.141667,311.945455,EQH,EQH,311.945455,TP2,True,4.627,0.0,other,False
2024-03-07 07:05:00+00:00,2024-03-13 15:05:00+00:00,bullish,continuation,CHoCH_internal_bull,428.2,428.2,470.18566,,fallback_2R,,584.8,MAX_HOLD,True,4.764,4.764,london,False
2024-09-08 19:10:00+00:00,2024-09-08 20:00:00+00:00,bullish,continuation,CHoCH_internal_bull,496.8,495.25032,499.633333,513.15,EQH,EQH,495.25032,SL,False,-1.0,-1.0,other,False
2024-09-08 20:55:00+00:00,2024-09-09 16:25:00+00:00,bullish,continuation,CHoCH_internal_bull,496.1,496.1,499.633333,513.15,EQH,EQH,513.15,TP2,True,12.113,0.0,other,False
2025-10-16 14:00:00+00:00,2025-10-22 22:00:00+00:00,bearish,continuation,CHoCH_internal_bear,1181.65,1189.118165,725.02,534.27,EQL,EQL,1061.7,MAX_HOLD,False,16.062,16.062,ny,False
2025-10-16 15:30:00+00:00,2025-10-22 23:30:00+00:00,bearish,continuation,CHoCH_internal_bear,1166.13,1189.116614,725.02,534.27,EQL,EQL,1071.89,MAX_HOLD,False,4.1,4.1,ny,False
2025-10-28 18:05:00+00:00,2025-10-28 20:10:00+00:00,bearish,continuation,CHoCH_internal_bear,1142.79,1142.79,1122.556667,1121.14,EQL,EQL,1121.14,TP2,True,3.343,0.0,other,False
2025-10-28 18:30:00+00:00,2025-10-28 20:10:00+00:00,bearish,continuation,CHoCH_internal_bear,1141.2,1141.2,1122.556667,1121.14,EQL,EQL,1121.14,TP2,True,2.464,0.0,other,False
