entry_time,exit_time,direction,setup,choch_type,entry_price,sl_price,tp1_price,tp2_price,tp1_source,tp2_source,exit_price,exit_reason,tp1_hit,pnl_r,pnl_pct,session,liquidity_sweep
2026-06-19 20:55:00+00:00,2026-06-21 00:00:00+00:00,bullish,continuation,CHoCH_internal_bull,0.083055,0.08106,0.0878,0.090858,swing_high,EQH,0.083582,EOD,False,0.264,0.264,other,False
2026-06-19 23:45:00+00:00,2026-06-21 00:00:00+00:00,bullish,continuation,CHoCH_internal_bull,0.083201,0.081235,0.0878,0.090858,swing_high,EQH,0.083582,EOD,False,0.194,0.194,other,False
